NAME;MODEL;FILE_SIZE;ENCODING_TIME;DECODING_TIME
kitti/Town01_Opt_CloudyNight_4003112047303369508.bin;1450;146988;16;8
kitti/Town01_Opt_CloudyNight_3102013609079846627.bin;1450;126840;15;7
kitti/Town01_Opt_CloudyNight_4046268515483553745.bin;1450;121550;15;6
kitti/Town01_Opt_CloudyNight_16659121947801545226.bin;1450;102992;13;6
kitti/Town01_Opt_CloudyNight_2629961523510558795.bin;1450;143319;16;7
kitti/Town01_Opt_CloudyNight_3988607319449332674.bin;1450;129727;15;7
kitti/Town01_Opt_CloudyNight_3847891468036409013.bin;1450;136610;15;7
kitti/Town01_Opt_CloudyNight_16238796828315910066.bin;1450;121391;14;7
kitti/Town01_Opt_CloudyNight_6027751067207392165.bin;1450;133974;16;7
kitti/Town01_Opt_CloudyNight_17346293778150908569.bin;1450;141962;17;8
